Channel,End Date,Geo ID,Geo Name,Load Date,Product ID,Site Name,Start Date,Time Bucket,Audio Complete,Bounce,Page View,PDF Download,SessionDuration(sec),Signup Attemps,Site Visit
Direct,12/20/2021,1,India,5/20/2021,1002345,www.gov.in,1/1/2021,YTD,2,423,39,8,110,13,559
refferal,12/20/2021,1,India,1/18/2021,1002345,www.gov.in,1/1/2021,YTD,4,421,25,1,62,2,573
Direct,12/20/2021,1,India,4/11/2021,1002345,www.gov.in,1/1/2021,YTD,3,406,24,16,31,5,570
Display,12/20/2021,1,India,10/28/2021,1002345,www.gov.in,1/1/2021,YTD,1,428,39,7,110,14,556
refferal,12/20/2021,1,India,7/10/2021,1002345,www.gov.in,1/1/2021,YTD,10,421,30,18,118,1,576
Direct,12/20/2021,1,India,12/15/2021,1002345,www.gov.in,1/1/2021,YTD,7,425,20,4,101,3,578
refferal,12/20/2021,1,India,1/28/2021,1002345,www.gov.in,1/1/2021,YTD,6,405,37,18,37,3,573
Display,12/20/2021,1,India,7/13/2021,1002345,www.gov.in,1/1/2021,YTD,5,412,21,12,71,8,567
Display,12/20/2021,1,India,6/6/2021,1002345,www.gov.in,1/1/2021,YTD,11,412,37,16,56,4,578
Display,12/20/2021,1,India,11/13/2021,1002345,www.gov.in,1/1/2021,YTD,5,411,33,11,118,13,576
Display,12/20/2021,1,India,4/8/2021,1002345,www.gov.in,1/1/2021,YTD,13,429,40,11,42,5,575
Direct,12/20/2021,1,India,7/6/2021,1002345,www.gov.in,1/1/2021,YTD,2,405,21,10,60,8,579
Display,12/20/2021,1,India,4/24/2021,1002345,www.gov.in,1/1/2021,YTD,11,418,38,10,91,4,570
Display,12/20/2021,1,India,5/14/2021,1002345,www.gov.in,1/1/2021,YTD,16,408,21,11,64,4,565
refferal,12/20/2021,1,India,10/10/2021,1002345,www.gov.in,1/1/2021,YTD,15,426,33,15,99,8,552
Direct,12/20/2021,1,India,5/28/2021,1002345,www.gov.in,1/1/2021,YTD,12,408,39,17,119,14,570
refferal,12/20/2021,1,India,3/31/2021,1002345,www.gov.in,1/1/2021,YTD,9,408,29,10,70,7,552
Direct,12/20/2021,1,India,8/18/2021,1002345,www.gov.in,1/1/2021,YTD,3,401,35,9,83,5,578
refferal,12/20/2021,1,India,7/1/2021,1002345,www.gov.in,1/1/2021,YTD,8,419,32,18,63,12,551
refferal,12/20/2021,1,India,2/27/2021,1002345,www.gov.in,1/1/2021,YTD,14,429,20,15,35,15,559
Display,12/20/2021,1,India,6/19/2021,1002345,www.gov.in,1/1/2021,YTD,8,421,37,5,50,14,562
refferal,12/20/2021,1,India,1/11/2021,1002345,www.gov.in,1/1/2021,YTD,16,411,29,7,40,12,552
Direct,12/20/2021,1,India,11/20/2021,1002345,www.gov.in,1/1/2021,YTD,4,416,29,11,98,3,578
Direct,12/20/2021,1,India,5/1/2021,1002345,www.gov.in,1/1/2021,YTD,5,413,37,12,94,14,567
refferal,12/20/2021,1,India,3/8/2021,1002345,www.gov.in,1/1/2021,YTD,13,414,31,2,107,11,569
Display,12/20/2021,1,India,7/3/2021,1002345,www.gov.in,1/1/2021,YTD,14,417,27,1,106,9,554
refferal,12/20/2021,1,India,8/2/2021,1002345,www.gov.in,1/1/2021,YTD,13,411,40,4,51,5,557
Display,12/20/2021,1,India,11/22/2021,1002345,www.gov.in,1/1/2021,YTD,12,413,28,9,45,7,552
Display,12/20/2021,1,India,9/18/2021,1002345,www.gov.in,1/1/2021,YTD,15,426,35,5,49,5,559
Direct,12/20/2021,1,India,4/18/2021,1002345,www.gov.in,1/1/2021,YTD,6,425,20,6,113,8,564
Direct,12/20/2021,1,India,5/2/2021,1002345,www.gov.in,1/1/2021,YTD,16,425,38,2,45,7,553
Direct,12/20/2021,1,India,9/5/2021,1002345,www.gov.in,1/1/2021,YTD,2,414,27,4,73,12,580
Display,12/20/2021,1,India,5/23/2021,1002345,www.gov.in,1/1/2021,YTD,14,409,37,10,91,9,561
refferal,12/20/2021,1,India,5/27/2021,1002345,www.gov.in,1/1/2021,YTD,4,424,30,8,118,2,578
refferal,12/20/2021,1,India,7/5/2021,1002345,www.gov.in,1/1/2021,YTD,6,423,32,15,86,1,558
refferal,12/20/2021,1,India,3/2/2021,1002345,www.gov.in,1/1/2021,YTD,1,412,40,13,112,12,557
refferal,12/20/2021,1,India,4/30/2021,1002345,www.gov.in,1/1/2021,YTD,14,425,37,2,115,11,573
Display,12/20/2021,1,India,12/11/2021,1002345,www.gov.in,1/1/2021,YTD,3,410,36,5,54,11,563
refferal,12/20/2021,1,India,11/15/2021,1002345,www.gov.in,1/1/2021,YTD,14,412,34,9,65,2,562
refferal,12/20/2021,1,India,1/30/2021,1002345,www.gov.in,1/1/2021,YTD,2,414,26,6,98,15,563
refferal,12/20/2021,1,India,11/19/2021,1002345,www.gov.in,1/1/2021,YTD,6,413,26,7,64,4,569
Direct,12/20/2021,1,India,6/1/2021,1002345,www.gov.in,1/1/2021,YTD,16,422,26,9,33,15,570
refferal,12/20/2021,1,India,8/17/2021,1002345,www.gov.in,1/1/2021,YTD,10,411,38,7,103,5,579
refferal,12/20/2021,1,India,7/4/2021,1002345,www.gov.in,1/1/2021,YTD,14,425,29,17,118,6,569
Direct,12/20/2021,1,India,10/1/2021,1002345,www.gov.in,1/1/2021,YTD,12,411,40,5,100,9,552
Display,12/20/2021,1,India,4/5/2021,1002345,www.gov.in,1/1/2021,YTD,16,422,31,1,97,2,558
refferal,12/20/2021,1,India,9/26/2021,1002345,www.gov.in,1/1/2021,YTD,2,402,22,6,53,7,556
Direct,12/20/2021,1,India,7/18/2021,1002345,www.gov.in,1/1/2021,YTD,10,430,39,9,84,9,552
refferal,12/20/2021,1,India,10/6/2021,1002345,www.gov.in,1/1/2021,YTD,1,419,37,6,98,8,571
Direct,12/20/2021,1,India,3/21/2021,1002345,www.gov.in,1/1/2021,YTD,1,401,40,1,111,13,570
refferal,12/20/2021,1,India,12/8/2021,1002345,www.gov.in,1/1/2021,YTD,8,426,34,5,106,15,573
Display,12/20/2021,1,India,7/6/2021,1002345,www.gov.in,1/1/2021,YTD,3,419,20,15,64,11,571
Display,12/20/2021,1,India,9/26/2021,1002345,www.gov.in,1/1/2021,YTD,16,430,21,1,37,12,563
Display,12/20/2021,1,India,1/15/2021,1002345,www.gov.in,1/1/2021,YTD,4,417,31,7,75,4,566
refferal,12/20/2021,1,India,11/6/2021,1002345,www.gov.in,1/1/2021,YTD,6,407,36,8,115,6,577
Direct,12/20/2021,1,India,1/19/2021,1002345,www.gov.in,1/1/2021,YTD,10,416,20,10,103,10,574
refferal,12/20/2021,1,India,4/7/2021,1002345,www.gov.in,1/1/2021,YTD,11,410,23,3,72,1,576
Display,12/20/2021,1,India,8/3/2021,1002345,www.gov.in,1/1/2021,YTD,3,410,40,10,55,13,555
Display,12/20/2021,1,India,8/14/2021,1002345,www.gov.in,1/1/2021,YTD,15,418,34,10,76,4,559
Display,12/20/2021,1,India,10/1/2021,1002345,www.gov.in,1/1/2021,YTD,4,403,29,11,39,9,566
Display,12/20/2021,1,India,9/9/2021,1002345,www.gov.in,1/1/2021,YTD,12,421,35,13,45,2,568
Direct,12/20/2021,1,India,11/2/2021,1002345,www.gov.in,1/1/2021,YTD,13,417,24,12,53,12,558
Display,12/20/2021,1,India,10/19/2021,1002345,www.gov.in,1/1/2021,YTD,14,422,32,11,41,6,575
refferal,12/20/2021,1,India,3/1/2021,1002345,www.gov.in,1/1/2021,YTD,11,403,38,9,106,7,571
Direct,12/20/2021,1,India,3/1/2021,1002345,www.gov.in,1/1/2021,YTD,3,420,21,8,116,2,556
refferal,12/20/2021,1,India,4/19/2021,1002345,www.gov.in,1/1/2021,YTD,6,424,29,7,38,1,552
Display,12/20/2021,1,India,4/4/2021,1002345,www.gov.in,1/1/2021,YTD,14,417,31,17,120,8,562
Display,12/20/2021,1,India,6/22/2021,1002345,www.gov.in,1/1/2021,YTD,16,401,29,18,38,15,564
refferal,12/20/2021,1,India,3/14/2021,1002345,www.gov.in,1/1/2021,YTD,13,415,30,13,42,4,572
refferal,12/20/2021,1,India,6/23/2021,1002345,www.gov.in,1/1/2021,YTD,16,408,36,14,93,8,551
Direct,12/20/2021,1,India,1/18/2021,1002345,www.gov.in,1/1/2021,YTD,9,419,22,17,81,2,557
refferal,12/20/2021,1,India,7/16/2021,1002345,www.gov.in,1/1/2021,YTD,14,426,37,2,77,6,562
Direct,12/20/2021,1,India,11/22/2021,1002345,www.gov.in,1/1/2021,YTD,10,415,38,12,98,15,554
refferal,12/20/2021,1,India,1/8/2021,1002345,www.gov.in,1/1/2021,YTD,12,418,35,6,75,11,558
Direct,12/20/2021,1,India,2/26/2021,1002345,www.gov.in,1/1/2021,YTD,5,413,36,6,105,10,561
Display,12/20/2021,1,India,5/14/2021,1002345,www.gov.in,1/1/2021,YTD,12,423,33,7,42,10,570
Display,12/20/2021,1,India,5/2/2021,1002345,www.gov.in,1/1/2021,YTD,5,426,38,16,110,2,565
Display,12/20/2021,1,India,1/30/2021,1002345,www.gov.in,1/1/2021,YTD,12,403,33,16,56,9,553
Direct,12/20/2021,1,India,4/25/2021,1002345,www.gov.in,1/1/2021,YTD,4,422,22,7,47,14,556
Display,12/20/2021,1,India,9/15/2021,1002345,www.gov.in,1/1/2021,YTD,9,415,40,3,66,3,579
refferal,12/20/2021,1,India,5/15/2021,1002345,www.gov.in,1/1/2021,YTD,9,405,35,8,99,14,564
Direct,12/20/2021,1,India,10/17/2021,1002345,www.gov.in,1/1/2021,YTD,8,420,26,18,30,12,568
refferal,12/20/2021,1,India,11/21/2021,1002345,www.gov.in,1/1/2021,YTD,7,419,26,7,58,7,571
refferal,12/20/2021,1,India,11/8/2021,1002345,www.gov.in,1/1/2021,YTD,10,412,20,3,110,8,571
Direct,12/20/2021,1,India,9/2/2021,1002345,www.gov.in,1/1/2021,YTD,7,404,39,4,42,11,556
Direct,12/20/2021,1,India,9/11/2021,1002345,www.gov.in,1/1/2021,YTD,12,414,36,8,116,8,563
refferal,12/20/2021,1,India,3/14/2021,1002345,www.gov.in,1/1/2021,YTD,3,415,29,6,60,9,572
Direct,12/20/2021,1,India,6/12/2021,1002345,www.gov.in,1/1/2021,YTD,5,418,24,1,94,13,574
Direct,12/20/2021,1,India,4/19/2021,1002345,www.gov.in,1/1/2021,YTD,14,415,20,10,102,11,563
Direct,12/20/2021,1,India,9/19/2021,1002345,www.gov.in,1/1/2021,YTD,8,423,36,10,60,9,563
refferal,12/20/2021,1,India,5/27/2021,1002345,www.gov.in,1/1/2021,YTD,4,411,40,18,64,13,565
Display,12/20/2021,1,India,3/21/2021,1002345,www.gov.in,1/1/2021,YTD,15,405,38,11,92,4,570
Direct,12/20/2021,1,India,4/4/2021,1002345,www.gov.in,1/1/2021,YTD,4,420,32,5,99,5,559
Direct,12/20/2021,1,India,6/9/2021,1002345,www.gov.in,1/1/2021,YTD,3,409,34,16,71,15,565
Display,12/20/2021,1,India,11/30/2021,1002345,www.gov.in,1/1/2021,YTD,14,417,30,18,55,5,577
Display,12/20/2021,1,India,8/30/2021,1002345,www.gov.in,1/1/2021,YTD,11,413,30,6,92,9,553
Display,12/20/2021,1,India,3/13/2021,1002345,www.gov.in,1/1/2021,YTD,5,422,25,14,40,9,559
Direct,12/20/2021,1,India,5/31/2021,1002345,www.gov.in,1/1/2021,YTD,10,404,27,6,57,2,561
refferal,12/20/2021,1,India,1/2/2021,1002345,www.gov.in,1/1/2021,YTD,11,423,27,8,35,12,572
Direct,12/20/2021,1,India,6/16/2021,1002345,www.gov.in,1/1/2021,YTD,14,405,36,4,99,4,556
Display,12/20/2021,1,India,6/11/2021,1002345,www.gov.in,1/1/2021,YTD,6,404,33,6,38,4,556
Direct,12/20/2021,1,India,10/6/2021,1002345,www.gov.in,1/1/2021,YTD,6,429,26,5,84,3,554
Direct,12/20/2021,1,India,8/14/2021,1002345,www.gov.in,1/1/2021,YTD,5,428,35,7,110,5,557
Direct,12/20/2021,1,India,5/22/2021,1002345,www.gov.in,1/1/2021,YTD,12,403,32,2,101,8,552
Direct,12/20/2021,1,India,11/22/2021,1002345,www.gov.in,1/1/2021,YTD,8,420,28,10,45,1,565
refferal,12/20/2021,1,India,8/16/2021,1002345,www.gov.in,1/1/2021,YTD,12,405,30,8,62,2,574
Direct,12/20/2021,1,India,9/29/2021,1002345,www.gov.in,1/1/2021,YTD,16,417,39,9,57,12,577
Direct,12/20/2021,1,India,11/23/2021,1002345,www.gov.in,1/1/2021,YTD,3,428,24,9,114,14,561
refferal,12/20/2021,1,India,3/10/2021,1002345,www.gov.in,1/1/2021,YTD,13,418,24,5,36,13,553
Direct,12/20/2021,1,India,1/28/2021,1002345,www.gov.in,1/1/2021,YTD,10,424,29,4,80,2,550
Direct,12/20/2021,1,India,12/3/2021,1002345,www.gov.in,1/1/2021,YTD,13,423,28,15,109,1,560
Direct,12/20/2021,1,India,2/6/2021,1002345,www.gov.in,1/1/2021,YTD,8,418,27,2,43,15,567
Direct,12/20/2021,1,India,5/16/2021,1002345,www.gov.in,1/1/2021,YTD,15,410,23,11,106,3,554
refferal,12/20/2021,1,India,4/17/2021,1002345,www.gov.in,1/1/2021,YTD,12,416,37,10,39,3,569
Direct,12/20/2021,1,India,5/22/2021,1002345,www.gov.in,1/1/2021,YTD,9,414,24,16,98,5,562
Display,12/20/2021,1,India,8/10/2021,1002345,www.gov.in,1/1/2021,YTD,3,400,38,7,115,4,570
Display,12/20/2021,1,India,6/19/2021,1002345,www.gov.in,1/1/2021,YTD,1,401,33,17,117,12,569
Direct,12/20/2021,1,India,6/3/2021,1002345,www.gov.in,1/1/2021,YTD,12,413,26,12,47,9,566
refferal,12/20/2021,1,India,10/23/2021,1002345,www.gov.in,1/1/2021,YTD,11,403,39,9,51,15,555
refferal,12/20/2021,1,India,6/19/2021,1002345,www.gov.in,1/1/2021,YTD,10,428,25,6,96,10,553
refferal,12/20/2021,1,India,11/4/2021,1002345,www.gov.in,1/1/2021,YTD,3,427,39,13,36,3,554
Direct,12/20/2021,1,India,8/28/2021,1002345,www.gov.in,1/1/2021,YTD,15,401,34,8,98,1,560
Direct,12/20/2021,1,India,10/28/2021,1002345,www.gov.in,1/1/2021,YTD,10,425,20,5,108,7,562
Display,12/20/2021,1,India,12/9/2021,1002345,www.gov.in,1/1/2021,YTD,3,430,39,5,37,15,568
Display,12/20/2021,1,India,4/5/2021,1002345,www.gov.in,1/1/2021,YTD,9,400,37,16,119,15,579
Direct,12/20/2021,1,India,6/4/2021,1002345,www.gov.in,1/1/2021,YTD,14,421,28,11,30,4,554
refferal,12/20/2021,1,India,2/28/2021,1002345,www.gov.in,1/1/2021,YTD,14,411,37,4,117,15,572
Display,12/20/2021,1,India,10/11/2021,1002345,www.gov.in,1/1/2021,YTD,15,428,33,6,84,4,568
Direct,12/20/2021,1,India,5/26/2021,1002345,www.gov.in,1/1/2021,YTD,3,408,21,16,100,15,550
refferal,12/20/2021,1,India,3/16/2021,1002345,www.gov.in,1/1/2021,YTD,13,425,36,18,51,3,577
refferal,12/20/2021,1,India,7/7/2021,1002345,www.gov.in,1/1/2021,YTD,7,422,36,3,115,12,576
Display,12/20/2021,1,India,12/6/2021,1002345,www.gov.in,1/1/2021,YTD,16,417,22,1,97,10,559
refferal,12/20/2021,1,India,7/24/2021,1002345,www.gov.in,1/1/2021,YTD,16,410,23,4,85,3,571
Direct,12/20/2021,1,India,3/7/2021,1002345,www.gov.in,1/1/2021,YTD,14,405,38,1,103,10,576
refferal,12/20/2021,1,India,10/14/2021,1002345,www.gov.in,1/1/2021,YTD,15,408,20,3,32,12,565
Display,12/20/2021,1,India,1/23/2021,1002345,www.gov.in,1/1/2021,YTD,10,401,23,10,69,2,560
Display,12/20/2021,1,India,4/20/2021,1002345,www.gov.in,1/1/2021,YTD,11,412,30,11,84,3,563
refferal,12/20/2021,1,India,9/6/2021,1002345,www.gov.in,1/1/2021,YTD,13,429,40,5,97,15,573
Direct,12/20/2021,1,India,10/26/2021,1002345,www.gov.in,1/1/2021,YTD,2,412,25,2,105,1,565
Direct,12/20/2021,1,India,4/26/2021,1002345,www.gov.in,1/1/2021,YTD,16,402,39,5,65,4,575
Direct,12/20/2021,1,India,10/20/2021,1002345,www.gov.in,1/1/2021,YTD,4,424,40,7,55,4,579
Direct,12/20/2021,1,India,5/25/2021,1002345,www.gov.in,1/1/2021,YTD,12,417,39,3,33,12,574
Display,12/20/2021,1,India,4/24/2021,1002345,www.gov.in,1/1/2021,YTD,7,405,27,11,49,1,574
Display,12/20/2021,1,India,5/28/2021,1002345,www.gov.in,1/1/2021,YTD,9,413,31,15,118,14,550
Display,12/20/2021,1,India,11/25/2021,1002345,www.gov.in,1/1/2021,YTD,11,400,40,16,43,11,552
Direct,12/20/2021,1,India,11/19/2021,1002345,www.gov.in,1/1/2021,YTD,7,402,30,17,37,14,553
Direct,12/20/2021,1,India,4/7/2021,1002345,www.gov.in,1/1/2021,YTD,5,418,20,12,100,6,552
Display,12/20/2021,1,India,6/25/2021,1002345,www.gov.in,1/1/2021,YTD,12,429,25,10,88,2,567
refferal,12/20/2021,1,India,8/25/2021,1002345,www.gov.in,1/1/2021,YTD,12,406,40,18,103,12,571
refferal,12/20/2021,1,India,4/24/2021,1002345,www.gov.in,1/1/2021,YTD,5,403,28,2,111,5,557
Direct,12/20/2021,1,India,5/5/2021,1002345,www.gov.in,1/1/2021,YTD,8,428,23,15,53,10,578
Display,12/20/2021,1,India,5/23/2021,1002345,www.gov.in,1/1/2021,YTD,8,415,23,14,68,2,555
Direct,12/20/2021,1,India,7/8/2021,1002345,www.gov.in,1/1/2021,YTD,3,419,23,12,94,1,566
Display,12/20/2021,1,India,3/8/2021,1002345,www.gov.in,1/1/2021,YTD,3,418,35,1,82,8,551
Display,12/20/2021,1,India,8/9/2021,1002345,www.gov.in,1/1/2021,YTD,12,411,37,7,76,3,561
refferal,12/20/2021,1,India,12/16/2021,1002345,www.gov.in,1/1/2021,YTD,11,425,25,3,99,3,563
refferal,12/20/2021,1,India,12/11/2021,1002345,www.gov.in,1/1/2021,YTD,1,406,36,4,35,4,578
Direct,12/20/2021,1,India,2/26/2021,1002345,www.gov.in,1/1/2021,YTD,12,404,28,8,95,10,576
refferal,12/20/2021,1,India,1/7/2021,1002345,www.gov.in,1/1/2021,YTD,12,424,29,13,48,13,568
Display,12/20/2021,1,India,8/28/2021,1002345,www.gov.in,1/1/2021,YTD,8,419,25,6,67,5,572
refferal,12/20/2021,1,India,1/29/2021,1002345,www.gov.in,1/1/2021,YTD,12,414,29,3,63,2,560
refferal,12/20/2021,1,India,12/5/2021,1002345,www.gov.in,1/1/2021,YTD,12,426,29,2,103,15,561
Display,12/20/2021,1,India,9/22/2021,1002345,www.gov.in,1/1/2021,YTD,6,403,32,3,96,11,566
refferal,12/20/2021,1,India,1/7/2021,1002345,www.gov.in,1/1/2021,YTD,5,400,39,5,59,8,553
refferal,12/20/2021,1,India,9/9/2021,1002345,www.gov.in,1/1/2021,YTD,8,424,25,18,88,4,557
refferal,12/20/2021,1,India,10/9/2021,1002345,www.gov.in,1/1/2021,YTD,13,414,26,1,63,4,554
Display,12/20/2021,1,India,9/24/2021,1002345,www.gov.in,1/1/2021,YTD,13,412,24,8,46,9,559
Direct,12/20/2021,1,India,7/7/2021,1002345,www.gov.in,1/1/2021,YTD,6,400,35,5,96,5,576
refferal,12/20/2021,1,India,7/15/2021,1002345,www.gov.in,1/1/2021,YTD,3,424,33,3,40,12,578
refferal,12/20/2021,1,India,2/16/2021,1002345,www.gov.in,1/1/2021,YTD,1,419,39,9,33,13,558
refferal,12/20/2021,1,India,4/25/2021,1002345,www.gov.in,1/1/2021,YTD,8,420,33,4,118,14,566
refferal,12/20/2021,1,India,11/28/2021,1002345,www.gov.in,1/1/2021,YTD,1,414,22,18,58,10,564
Display,12/20/2021,1,India,3/9/2021,1002345,www.gov.in,1/1/2021,YTD,10,410,30,17,32,1,565
Display,12/20/2021,1,India,5/30/2021,1002345,www.gov.in,1/1/2021,YTD,7,412,39,17,99,12,578
refferal,12/20/2021,1,India,11/30/2021,1002345,www.gov.in,1/1/2021,YTD,15,429,40,15,95,3,560
Display,12/20/2021,1,India,5/31/2021,1002345,www.gov.in,1/1/2021,YTD,6,404,31,14,93,3,578
Display,12/20/2021,1,India,5/23/2021,1002345,www.gov.in,1/1/2021,YTD,3,422,20,13,106,12,564
Direct,12/20/2021,1,India,11/21/2021,1002345,www.gov.in,1/1/2021,YTD,2,413,35,11,52,12,571
Direct,12/20/2021,1,India,6/14/2021,1002345,www.gov.in,1/1/2021,YTD,16,403,22,13,67,10,570
Direct,12/20/2021,1,India,9/4/2021,1002345,www.gov.in,1/1/2021,YTD,11,402,40,6,65,11,561
refferal,12/20/2021,1,India,8/21/2021,1002345,www.gov.in,1/1/2021,YTD,4,407,40,2,54,3,575
Display,12/20/2021,1,India,5/7/2021,1002345,www.gov.in,1/1/2021,YTD,2,416,25,1,41,14,551
Direct,12/20/2021,1,India,6/30/2021,1002345,www.gov.in,1/1/2021,YTD,16,415,31,2,32,4,574
Direct,12/20/2021,1,India,3/30/2021,1002345,www.gov.in,1/1/2021,YTD,14,400,34,11,97,14,578
refferal,12/20/2021,1,India,1/20/2021,1002345,www.gov.in,1/1/2021,YTD,7,419,22,5,47,12,555
refferal,12/20/2021,1,India,4/28/2021,1002345,www.gov.in,1/1/2021,YTD,13,403,35,7,91,5,551
Display,12/20/2021,1,India,9/11/2021,1002345,www.gov.in,1/1/2021,YTD,6,428,36,1,94,14,567
Direct,12/20/2021,1,India,6/1/2021,1002345,www.gov.in,1/1/2021,YTD,2,408,28,17,108,14,553
Direct,12/20/2021,1,India,3/23/2021,1002345,www.gov.in,1/1/2021,YTD,3,401,28,8,33,12,578
refferal,12/20/2021,1,India,6/2/2021,1002345,www.gov.in,1/1/2021,YTD,1,400,26,17,111,9,559
Direct,12/20/2021,1,India,4/1/2021,1002345,www.gov.in,1/1/2021,YTD,11,429,28,12,102,9,578
Direct,12/20/2021,1,India,5/5/2021,1002345,www.gov.in,1/1/2021,YTD,15,418,34,17,64,12,574
Direct,12/20/2021,1,India,9/26/2021,1002345,www.gov.in,1/1/2021,YTD,14,420,30,14,92,9,576
Display,12/20/2021,1,India,2/14/2021,1002345,www.gov.in,1/1/2021,YTD,6,401,26,7,97,8,559
Display,12/20/2021,1,India,2/10/2021,1002345,www.gov.in,1/1/2021,YTD,10,427,26,16,67,8,560
Direct,12/20/2021,1,India,9/17/2021,1002345,www.gov.in,1/1/2021,YTD,15,420,21,17,69,12,558
refferal,12/20/2021,1,India,11/28/2021,1002345,www.gov.in,1/1/2021,YTD,16,430,30,6,54,12,577
Display,12/20/2021,1,India,4/9/2021,1002345,www.gov.in,1/1/2021,YTD,9,429,38,8,66,8,577
Display,12/20/2021,1,India,4/24/2021,1002345,www.gov.in,1/1/2021,YTD,16,411,39,15,69,15,577
Display,12/20/2021,1,India,10/21/2021,1002345,www.gov.in,1/1/2021,YTD,7,417,28,6,63,13,569
Direct,12/20/2021,1,India,1/24/2021,1002345,www.gov.in,1/1/2021,YTD,5,412,34,18,93,11,551
refferal,12/20/2021,1,India,6/13/2021,1002345,www.gov.in,1/1/2021,YTD,1,408,32,15,91,13,553
